"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
198885451,Photo,"Aquila chrysaetos","Aigle royal",,"Lorenzo Vinciguerra",1/3/2020,2020,1,3,1404,Switzerland,CH-SG,"Sankt Gallen",,Grub/SG,47.4547,9.4812,,,,Unspecified,,,,,,,,S63315604,,,,,,,,,"Aquila chrysaetos",goleag,Species,7584.0,,,0.0,0,committed,,"https://ebird.org/profile/MTMwNDM2OQ",4888,2281,"https://macaulaylibrary.org/asset/198885451","https://ebird.org/view/checklist/S63315604","https://ebird.org/species/goleag",false,goleag
198249561,Photo,"Aquila chrysaetos","Aigle royal",,"Leonardo Rassu",9/10/2016,2016,9,10,0,Switzerland,CH-GR,Graubünden,,"Swiss National Park",46.6671,10.1934,,,,Unspecified,,,,,,,,S61549696,,,,,,,,,"Aquila chrysaetos",goleag,Species,7584.0,,,0.0,0,committed,,,1282,1927,"https://macaulaylibrary.org/asset/198249561","https://ebird.org/view/checklist/S61549696","https://ebird.org/species/goleag",false,goleag
197139961,Photo,"Aquila chrysaetos","Aigle royal",,"Guillermo López Zamora",1/3/2006,2006,1,3,1000,Switzerland,CH-VS,Wallis,,"Pfynwald (zone générale)",46.3035,7.6199,,Inconnu,,Unspecified,,,,,,,,S62992601,,,,,,,,,"Aquila chrysaetos",goleag,Species,7584.0,,,4.0,2,committed,,"https://ebird.org/profile/OTg5OTUz",2000,3008,"https://macaulaylibrary.org/asset/197139961","https://ebird.org/view/checklist/S62992601","https://ebird.org/species/goleag",false,goleag
197006711,Photo,"Aquila chrysaetos","Aigle royal",,"Lorenzo Vinciguerra",1/3/2020,2020,1,3,1404,Switzerland,CH-SG,"Sankt Gallen",,Grub/SG,47.4505,9.4869,,,,Unspecified,,,,,,,,S62973291,,,,,,,,,"Aquila chrysaetos",goleag,Species,7584.0,,,0.0,0,committed,,"https://ebird.org/profile/MTMwNDM2OQ",2744,2917,"https://macaulaylibrary.org/asset/197006711","https://ebird.org/view/checklist/S62973291","https://ebird.org/species/goleag",false,goleag
192237911,Photo,"Aquila chrysaetos","Aigle royal",,"The Wildlab",12/8/2019,2019,12,8,1136,Switzerland,CH-VS,Wallis,,"Zermatt--Stadt (City of Zermatt)",46.0215,7.7472,,,,Unspecified,,,,,,,,S62136063,,,,,"2 adults, 1 imm",,,,"Aquila chrysaetos",goleag,Species,7584.0,,,2.0,1,committed,,,544,725,"https://macaulaylibrary.org/asset/192237911","https://ebird.org/view/checklist/S62136063","https://ebird.org/species/goleag",false,goleag
192237561,Photo,"Aquila chrysaetos","Aigle royal",,"The Wildlab",12/8/2019,2019,12,8,1136,Switzerland,CH-VS,Wallis,,"Zermatt--Stadt (City of Zermatt)",46.0215,7.7472,,,,Unspecified,,,,,,,,S62136063,,,,,"2 adults, 1 imm",,,,"Aquila chrysaetos",goleag,Species,7584.0,,,2.0,1,committed,,,1093,1456,"https://macaulaylibrary.org/asset/192237561","https://ebird.org/view/checklist/S62136063","https://ebird.org/species/goleag",false,goleag
192237111,Photo,"Aquila chrysaetos","Aigle royal",,"The Wildlab",12/8/2019,2019,12,8,1136,Switzerland,CH-VS,Wallis,,"Zermatt--Stadt (City of Zermatt)",46.0215,7.7472,,,,Unspecified,,,,,,,,S62136063,,,,,"2 adults, 1 imm",,,,"Aquila chrysaetos",goleag,Species,7584.0,,,3.0,1,committed,,,1685,1264,"https://macaulaylibrary.org/asset/192237111","https://ebird.org/view/checklist/S62136063","https://ebird.org/species/goleag",false,goleag
192235581,Photo,"Aquila chrysaetos","Aigle royal",,"The Wildlab",12/8/2019,2019,12,8,1136,Switzerland,CH-VS,Wallis,,"Zermatt--Stadt (City of Zermatt)",46.0215,7.7472,,,,Unspecified,,,,,,,,S62136063,,,,,"2 adults, 1 imm",,,,"Aquila chrysaetos",goleag,Species,7584.0,,,2.0,1,committed,,,718,539,"https://macaulaylibrary.org/asset/192235581","https://ebird.org/view/checklist/S62136063","https://ebird.org/species/goleag",false,goleag
192235501,Photo,"Aquila chrysaetos","Aigle royal",,"The Wildlab",12/8/2019,2019,12,8,1136,Switzerland,CH-VS,Wallis,,"Zermatt--Stadt (City of Zermatt)",46.0215,7.7472,,,,Unspecified,,,,,,,,S62136063,,,,,"2 adults, 1 imm",,,,"Aquila chrysaetos",goleag,Species,7584.0,,,2.0,1,committed,,,2131,1598,"https://macaulaylibrary.org/asset/192235501","https://ebird.org/view/checklist/S62136063","https://ebird.org/species/goleag",false,goleag
192234071,Photo,"Aquila chrysaetos","Aigle royal",,"The Wildlab",12/8/2019,2019,12,8,1136,Switzerland,CH-VS,Wallis,,"Zermatt--Stadt (City of Zermatt)",46.0215,7.7472,,,,Unspecified,,,,,,,,S62136063,,,,,"2 adults, 1 imm",,,,"Aquila chrysaetos",goleag,Species,7584.0,,,1.0,1,committed,,,1107,830,"https://macaulaylibrary.org/asset/192234071","https://ebird.org/view/checklist/S62136063","https://ebird.org/species/goleag",false,goleag
