"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
206607851,Photo,"Fulica atra","Foulque macroule",,"Tarachand Wanvari",8/28/2015,2015,8,28,1635,Switzerland,CH-ZH,Zürich,,Seefeldquai,47.3626,8.5468,,,,Unspecified,,,,,,,,S63999251,,,,,"Camera time settings were India settings, which is about 3.5 hours ahead of Swiss time",,,,"Fulica atra",eurcoo,Species,5299.0,,,0.0,0,committed,,"https://ebird.org/profile/NTAyOTQ3",2157,2157,"https://macaulaylibrary.org/asset/206607851","https://ebird.org/view/checklist/S63999251","https://ebird.org/species/eurcoo",false,eurcoo
200544381,Photo,"Fulica atra","Foulque macroule",,"Berty & Ernst Haueter",1/9/2014,2014,1,9,1000,Switzerland,CH-SG,"Sankt Gallen",,Rapperswil--Kloster,47.2269,8.8115,,,,Unspecified,,,,,,,,S63594536,,,,,,,,,"Fulica atra",eurcoo,Species,5299.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ4NjM5MQ",3240,4320,"https://macaulaylibrary.org/asset/200544381","https://ebird.org/view/checklist/S63594536","https://ebird.org/species/eurcoo",false,eurcoo
200229081,Photo,"Fulica atra","Foulque macroule",,"Maryse Neukomm",1/18/2020,2020,1,18,1315,Switzerland,CH-FR,Freiburg,,"Port et Canal de Gletterens",46.9082,6.9285,,,,Unspecified,,,,,,,,S63512294,,,,,,,,,"Fulica atra",eurcoo,Species,5299.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1758,2637,"https://macaulaylibrary.org/asset/200229081","https://ebird.org/view/checklist/S63512294","https://ebird.org/species/eurcoo",false,eurcoo
200229071,Photo,"Fulica atra","Foulque macroule",,"Maryse Neukomm",1/18/2020,2020,1,18,1315,Switzerland,CH-FR,Freiburg,,"Port et Canal de Gletterens",46.9082,6.9285,,,,Unspecified,,,,,,,,S63512294,,,,,,,,,"Fulica atra",eurcoo,Species,5299.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1758,2637,"https://macaulaylibrary.org/asset/200229071","https://ebird.org/view/checklist/S63512294","https://ebird.org/species/eurcoo",false,eurcoo
200196171,Photo,"Fulica atra","Foulque macroule",,"Stephen Chang",1/13/2020,2020,1,13,1000,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467759,,,,,,,,,"Fulica atra",eurcoo,Species,5299.0,,,3.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200196171","https://ebird.org/view/checklist/S63467759","https://ebird.org/species/eurcoo",false,eurcoo
200108431,Photo,"Fulica atra","Foulque macroule",,"Stephen Chang",1/12/2020,2020,1,12,1100,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467665,,,,,,,,,"Fulica atra",eurcoo,Species,5299.0,,,2.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200108431","https://ebird.org/view/checklist/S63467665","https://ebird.org/species/eurcoo",false,eurcoo
200108281,Photo,"Fulica atra","Foulque macroule",,"Stephen Chang",1/12/2020,2020,1,12,1100,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467665,,,,,,,,,"Fulica atra",eurcoo,Species,5299.0,,,3.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200108281","https://ebird.org/view/checklist/S63467665","https://ebird.org/species/eurcoo",false,eurcoo
198665711,Photo,"Fulica atra","Foulque macroule",,"Maryse Neukomm",1/11/2020,2020,1,11,1028,Switzerland,CH-SO,Solothurn,,Inkwilersee,47.1987,7.6628,,,,Unspecified,,,,,,,,S63274585,,,,,,,,,"Fulica atra",eurcoo,Species,5299.0,,,4.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",2169,3254,"https://macaulaylibrary.org/asset/198665711","https://ebird.org/view/checklist/S63274585","https://ebird.org/species/eurcoo",false,eurcoo
198644951,Photo,"Fulica atra","Foulque macroule",,"Brigitte Tombers",12/28/2016,2016,12,28,1025,Switzerland,CH-TG,Thurgau,,Bodensee,47.5695,9.3823,,,,Unspecified,,,,,,,,S60577626,,,,,"Number estimated, possibly more",,,,"Fulica atra",eurcoo,Species,5299.0,,,0.0,0,committed,,"https://ebird.org/profile/NDU2Mzc0",2794,4040,"https://macaulaylibrary.org/asset/198644951","https://ebird.org/view/checklist/S60577626","https://ebird.org/species/eurcoo",false,eurcoo
198605751,Photo,"Fulica atra","Foulque macroule",,"Leonardo Rassu",4/25/2018,2018,4,25,1450,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61460650,,,,,,,,,"Fulica atra",eurcoo,Species,5299.0,,,0.0,0,committed,,,2399,3596,"https://macaulaylibrary.org/asset/198605751","https://ebird.org/view/checklist/S61460650","https://ebird.org/species/eurcoo",false,eurcoo
198033071,Photo,"Fulica atra","Foulque macroule",,"Thomas Brooks",1/5/2020,2020,1,5,1327,Switzerland,CH-VD,Vaud,,"Les Grangettes (general area)",46.3913,6.8971,,Inconnu,,Unspecified,,,,,,,,S63042659,,,,,,,,,"Fulica atra",eurcoo,Species,5299.0,,,4.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/198033071","https://ebird.org/view/checklist/S63042659","https://ebird.org/species/eurcoo",false,eurcoo
198033061,Photo,"Fulica atra","Foulque macroule",,"Thomas Brooks",1/5/2020,2020,1,5,1327,Switzerland,CH-VD,Vaud,,"Les Grangettes (general area)",46.3913,6.8971,,Inconnu,,Unspecified,,,,,,,,S63042659,,,,,,,,,"Fulica atra",eurcoo,Species,5299.0,,,3.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/198033061","https://ebird.org/view/checklist/S63042659","https://ebird.org/species/eurcoo",false,eurcoo
197649041,Photo,"Fulica atra","Foulque macroule",,"Leonardo Rassu",5/20/2017,2017,5,20,930,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S63082479,,,,,,,,,"Fulica atra",eurcoo,Species,5299.0,,,0.0,0,committed,,,1000,1502,"https://macaulaylibrary.org/asset/197649041","https://ebird.org/view/checklist/S63082479","https://ebird.org/species/eurcoo",false,eurcoo
