"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
206614091,Photo,"Pyrrhocorax graculus","Chocard à bec jaune",,"Cameron Chevalier",5/20/2018,2018,5,20,0,Switzerland,CH-OW,Obwalden,,Pilatus,46.9796,8.2544,,Inconnu,,Unspecified,,,,,,,,S61096309,,,,,,,,,"Pyrrhocorax graculus",yebcho1,Species,20590.0,,,3.0,1,committed,,"https://ebird.org/profile/MTA2OTUyNQ",3072,4608,"https://macaulaylibrary.org/asset/206614091","https://ebird.org/view/checklist/S61096309","https://ebird.org/species/yebcho1",false,yebcho1
200487411,Photo,"Pyrrhocorax graculus","Chocard à bec jaune",,"Nick Anich",1/16/2020,2020,1,16,1300,Switzerland,CH-VS,Wallis,,Champoussin,46.2085,6.8564,,Inconnu,"En vol",Unspecified,,,,,,,,S63561167,,,,,"with west side of the Dents du Midi in the background",,,,"Pyrrhocorax graculus",yebcho1,Species,20590.0,,,2.0,1,committed,,"https://ebird.org/profile/MTkxMDM",2608,2612,"https://macaulaylibrary.org/asset/200487411","https://ebird.org/view/checklist/S63561167","https://ebird.org/species/yebcho1",false,yebcho1
200487391,Photo,"Pyrrhocorax graculus","Chocard à bec jaune",,"Nick Anich",1/16/2020,2020,1,16,0,Switzerland,CH-VS,Wallis,,"Morgins, La O restaurant",46.2249,6.8613,,Inconnu,,Unspecified,,,,,,,,S63561331,,,,,"all sitting on roof of restaurant or eating from compost",,,,"Pyrrhocorax graculus",yebcho1,Species,20590.0,,,4.0,1,committed,,"https://ebird.org/profile/MTkxMDM",2328,4188,"https://macaulaylibrary.org/asset/200487391","https://ebird.org/view/checklist/S63561331","https://ebird.org/species/yebcho1",false,yebcho1
200487381,Photo,"Pyrrhocorax graculus","Chocard à bec jaune",,"Nick Anich",1/16/2020,2020,1,16,0,Switzerland,CH-VS,Wallis,,"Morgins, La O restaurant",46.2249,6.8613,,Inconnu,,Unspecified,,,,,,,,S63561331,,,,,"all sitting on roof of restaurant or eating from compost",,,,"Pyrrhocorax graculus",yebcho1,Species,20590.0,,,4.0,1,committed,,"https://ebird.org/profile/MTkxMDM",1514,3572,"https://macaulaylibrary.org/asset/200487381","https://ebird.org/view/checklist/S63561331","https://ebird.org/species/yebcho1",false,yebcho1
200137261,Photo,"Pyrrhocorax graculus","Chocard à bec jaune",,"Radhika Rajan",3/19/2016,2016,3,19,1530,Switzerland,CH-OW,Obwalden,,Titlis,46.7721,8.4377,,,,Unspecified,,,,,,,,S63527953,,,,,,,,,"Pyrrhocorax graculus",yebcho1,Species,20590.0,,,0.0,0,committed,,"https://ebird.org/profile/ODA2ODk2",,,"https://macaulaylibrary.org/asset/200137261","https://ebird.org/view/checklist/S63527953","https://ebird.org/species/yebcho1",false,yebcho1
200137231,Photo,"Pyrrhocorax graculus","Chocard à bec jaune",,"Radhika Rajan",3/19/2016,2016,3,19,1530,Switzerland,CH-OW,Obwalden,,Titlis,46.7721,8.4377,,,,Unspecified,,,,,,,,S63527953,,,,,,,,,"Pyrrhocorax graculus",yebcho1,Species,20590.0,,,0.0,0,committed,,"https://ebird.org/profile/ODA2ODk2",,,"https://macaulaylibrary.org/asset/200137231","https://ebird.org/view/checklist/S63527953","https://ebird.org/species/yebcho1",false,yebcho1
199971591,Photo,"Pyrrhocorax graculus","Chocard à bec jaune",,"Berty & Ernst Haueter",6/26/2016,2016,6,26,1000,Switzerland,CH-BE,Bern,,Niederhorn,46.7107,7.7751,,,,Unspecified,,,,,,,,S63495331,,,,,,,,,"Pyrrhocorax graculus",yebcho1,Species,20590.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ4NjM5MQ",3672,4896,"https://macaulaylibrary.org/asset/199971591","https://ebird.org/view/checklist/S63495331","https://ebird.org/species/yebcho1",false,yebcho1
199890911,Photo,"Pyrrhocorax graculus","Chocard à bec jaune",,"Stephen Chang",1/11/2020,2020,1,11,1530,Switzerland,CH-BE,Bern,,Schilthorn,46.5571,7.8354,,Inconnu,,Unspecified,,,,,,,,S63482100,,,,,,,,,"Pyrrhocorax graculus",yebcho1,Species,20590.0,,,2.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/199890911","https://ebird.org/view/checklist/S63482100","https://ebird.org/species/yebcho1",false,yebcho1
199890881,Photo,"Pyrrhocorax graculus","Chocard à bec jaune",,"Stephen Chang",1/11/2020,2020,1,11,1530,Switzerland,CH-BE,Bern,,Schilthorn,46.5571,7.8354,,Inconnu,,Unspecified,,,,,,,,S63482100,,,,,,,,,"Pyrrhocorax graculus",yebcho1,Species,20590.0,,,3.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/199890881","https://ebird.org/view/checklist/S63482100","https://ebird.org/species/yebcho1",false,yebcho1
199890871,Photo,"Pyrrhocorax graculus","Chocard à bec jaune",,"Stephen Chang",1/11/2020,2020,1,11,1530,Switzerland,CH-BE,Bern,,Schilthorn,46.5571,7.8354,,Inconnu,,Unspecified,,,,,,,,S63482100,,,,,,,,,"Pyrrhocorax graculus",yebcho1,Species,20590.0,,,3.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/199890871","https://ebird.org/view/checklist/S63482100","https://ebird.org/species/yebcho1",false,yebcho1
