index,original index,ML Catalog Number,Scientific Name,Date,Month,Locality,Latitude,Longitude,Average Community Rating,storage,altitude,LV03_E,LV03_N,crop_storage,geometry,VL
175,0,200512751,Podiceps cristatus,2020-01-20,1,Rade de Genève (Geneva Bay),46.2111,6.1597,3.5,data/images/podiceps_cristatus/original/200512751.jpg,372,501302,118545,data/images/podiceps_cristatus/cropped/200512751.jpg,POINT (501302 118545),556.12
176,2,200195821,Podiceps cristatus,2020-01-13,1,Zürich Stadt (City of Zurich),47.3769,8.5414,3.0,data/images/podiceps_cristatus/original/200195821.jpg,408,683281,247925,data/images/podiceps_cristatus/cropped/200195821.jpg,POINT (683281 247925),482.71
177,4,200108141,Podiceps cristatus,2020-01-12,1,Zürich Stadt (City of Zurich),47.3769,8.5414,3.0,data/images/podiceps_cristatus/original/200108141.jpg,408,683281,247925,data/images/podiceps_cristatus/cropped/200108141.jpg,POINT (683281 247925),207.43
178,5,200108131,Podiceps cristatus,2020-01-12,1,Zürich Stadt (City of Zurich),47.3769,8.5414,4.0,data/images/podiceps_cristatus/original/200108131.jpg,408,683281,247925,data/images/podiceps_cristatus/cropped/200108131.jpg,POINT (683281 247925),241.54
179,6,199322721,Podiceps cristatus,2015-10-16,10,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/199322721.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/199322721.jpg,POINT (709562 113248),740.59
180,7,199302761,Podiceps cristatus,2020-01-12,1,Port des Eaux-Vives et Baby-plage,46.2092,6.1624,0.0,data/images/podiceps_cristatus/original/199302761.jpg,372,501507,118330,data/images/podiceps_cristatus/cropped/199302761.jpg,POINT (501507 118330),581.44
181,8,199115671,Podiceps cristatus,2015-10-17,10,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/199115671.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/199115671.jpg,POINT (709562 113248),406.19
182,9,199046491,Podiceps cristatus,2019-07-01,7,Zürich Stadt (City of Zurich),47.3769,8.5414,0.0,data/images/podiceps_cristatus/original/199046491.jpg,408,683281,247925,data/images/podiceps_cristatus/cropped/199046491.jpg,POINT (683281 247925),7268.67
183,11,198665371,Podiceps cristatus,2020-01-11,1,Inkwilersee,47.1987,7.6628,4.0,data/images/podiceps_cristatus/original/198665371.jpg,461,616987,227553,data/images/podiceps_cristatus/cropped/198665371.jpg,POINT (616987 227553),1449.59
184,12,198665361,Podiceps cristatus,2020-01-11,1,Inkwilersee,47.1987,7.6628,3.0,data/images/podiceps_cristatus/original/198665361.jpg,461,616987,227553,data/images/podiceps_cristatus/cropped/198665361.jpg,POINT (616987 227553),1612.9
185,13,198606441,Podiceps cristatus,2018-04-23,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/198606441.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/198606441.jpg,POINT (709562 113248),673.54
186,14,198605931,Podiceps cristatus,2018-04-25,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/198605931.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/198605931.jpg,POINT (709562 113248),492.58
187,15,198161761,Podiceps cristatus,2016-03-12,3,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/198161761.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/198161761.jpg,POINT (709562 113248),562.99
188,16,198161471,Podiceps cristatus,2016-03-12,3,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/198161471.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/198161471.jpg,POINT (709562 113248),888.87
189,17,198031581,Podiceps cristatus,2020-01-05,1,Les Grangettes (general area),46.3913,6.8971,3.0,data/images/podiceps_cristatus/original/198031581.jpg,373,558345,137915,data/images/podiceps_cristatus/cropped/198031581.jpg,POINT (558345 137915),588.45
190,18,197691411,Podiceps cristatus,2017-04-29,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/197691411.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/197691411.jpg,POINT (709562 113248),770.36
191,19,197690411,Podiceps cristatus,2017-04-29,4,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/197690411.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/197690411.jpg,POINT (709562 113248),653.49
192,20,197686491,Podiceps cristatus,2017-05-13,5,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/197686491.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/197686491.jpg,POINT (709562 113248),916.88
193,21,197643821,Podiceps cristatus,2017-05-26,5,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/197643821.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/197643821.jpg,POINT (709562 113248),669.71
194,22,197643081,Podiceps cristatus,2017-05-26,5,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/197643081.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/197643081.jpg,POINT (709562 113248),403.52
195,23,196086981,Podiceps cristatus,2017-03-18,3,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/196086981.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/196086981.jpg,POINT (709562 113248),433.36
196,24,196083261,Podiceps cristatus,2017-03-10,3,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/196083261.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/196083261.jpg,POINT (709562 113248),1146.31
197,25,196082031,Podiceps cristatus,2017-03-10,3,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/196082031.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/196082031.jpg,POINT (709562 113248),817.86
