"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
203064871,Photo,"Milvus milvus","Milan royal",,"Alexandre Figueiredo",1/25/2020,2020,1,25,1300,Switzerland,CH-ZH,Zürich,,Katzensee,47.4316,8.4959,,,,Unspecified,,,,,,,,S63818847,,,,,,,,,"Milvus milvus",redkit1,Species,7864.0,,,0.0,0,committed,,"https://ebird.org/profile/MTExNjE5MQ",4618,3464,"https://macaulaylibrary.org/asset/203064871","https://ebird.org/view/checklist/S63818847","https://ebird.org/species/redkit1",false,redkit1
199917321,Photo,"Milvus milvus","Milan royal",,"Mike Coulson",1/16/2020,2020,1,16,1245,Switzerland,CH-ZH,Zürich,,"Chickeria Parking lot",47.3064,8.8329,,,,Unspecified,,,,,,,,S63486979,,,,,,,,,"Milvus milvus",redkit1,Species,7864.0,,,0.0,0,committed,,"https://ebird.org/profile/Mzk4Nzk5",2321,1878,"https://macaulaylibrary.org/asset/199917321","https://ebird.org/view/checklist/S63486979","https://ebird.org/species/redkit1",false,redkit1
199917301,Photo,"Milvus milvus","Milan royal",,"Mike Coulson",1/16/2020,2020,1,16,1245,Switzerland,CH-ZH,Zürich,,"Chickeria Parking lot",47.3064,8.8329,,,,Unspecified,,,,,,,,S63486979,,,,,,,,,"Milvus milvus",redkit1,Species,7864.0,,,0.0,0,committed,,"https://ebird.org/profile/Mzk4Nzk5",2096,1836,"https://macaulaylibrary.org/asset/199917301","https://ebird.org/view/checklist/S63486979","https://ebird.org/species/redkit1",false,redkit1
199917291,Photo,"Milvus milvus","Milan royal",,"Mike Coulson",1/16/2020,2020,1,16,1245,Switzerland,CH-ZH,Zürich,,"Chickeria Parking lot",47.3064,8.8329,,,,Unspecified,,,,,,,,S63486979,,,,,,,,,"Milvus milvus",redkit1,Species,7864.0,,,0.0,0,committed,,"https://ebird.org/profile/Mzk4Nzk5",2136,1484,"https://macaulaylibrary.org/asset/199917291","https://ebird.org/view/checklist/S63486979","https://ebird.org/species/redkit1",false,redkit1
198678961,Photo,"Milvus milvus","Milan royal",,"Maryse Neukomm",1/11/2020,2020,1,11,1341,Switzerland,CH-SO,Solothurn,,"Altreu Insel",47.1894,7.4574,,,,Unspecified,,,,,,,,S63274583,,,,,,,,,"Milvus milvus",redkit1,Species,7864.0,,,1.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1097,1645,"https://macaulaylibrary.org/asset/198678961","https://ebird.org/view/checklist/S63274583","https://ebird.org/species/redkit1",false,redkit1
198665221,Photo,"Milvus milvus","Milan royal",,"Maryse Neukomm",1/11/2020,2020,1,11,1028,Switzerland,CH-SO,Solothurn,,Inkwilersee,47.1987,7.6628,,,,Unspecified,,,,,,,,S63274585,,,,,,,,,"Milvus milvus",redkit1,Species,7864.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1391,2086,"https://macaulaylibrary.org/asset/198665221","https://ebird.org/view/checklist/S63274585","https://ebird.org/species/redkit1",false,redkit1
198665101,Photo,"Milvus milvus","Milan royal",,"Maryse Neukomm",1/11/2020,2020,1,11,1028,Switzerland,CH-SO,Solothurn,,Inkwilersee,47.1987,7.6628,,,,Unspecified,,,,,,,,S63274585,,,,,,,,,"Milvus milvus",redkit1,Species,7864.0,,,3.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1161,1742,"https://macaulaylibrary.org/asset/198665101","https://ebird.org/view/checklist/S63274585","https://ebird.org/species/redkit1",false,redkit1
198665081,Photo,"Milvus milvus","Milan royal",,"Maryse Neukomm",1/11/2020,2020,1,11,1028,Switzerland,CH-SO,Solothurn,,Inkwilersee,47.1987,7.6628,,Inconnu,,Unspecified,,,,,,,,S63274585,,,,,,,,,"Milvus milvus",redkit1,Species,7864.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",912,1368,"https://macaulaylibrary.org/asset/198665081","https://ebird.org/view/checklist/S63274585","https://ebird.org/species/redkit1",false,redkit1
197707981,Photo,"Milvus milvus","Milan royal",,"Maryse Neukomm",1/6/2020,2020,1,6,1044,Switzerland,CH-AG,Aargau,,"Klingnauer Stausee",47.5833,8.2333,,,,Unspecified,,,,,,,,S63086999,,,,,,,,,"Milvus milvus",redkit1,Species,7864.0,,,3.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1629,2443,"https://macaulaylibrary.org/asset/197707981","https://ebird.org/view/checklist/S63086999","https://ebird.org/species/redkit1",false,redkit1
197707901,Photo,"Milvus milvus","Milan royal",,"Maryse Neukomm",1/6/2020,2020,1,6,1044,Switzerland,CH-AG,Aargau,,"Klingnauer Stausee",47.5833,8.2333,,,,Unspecified,,,,,,,,S63086999,,,,,,,,,"Milvus milvus",redkit1,Species,7864.0,,,3.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1887,2830,"https://macaulaylibrary.org/asset/197707901","https://ebird.org/view/checklist/S63086999","https://ebird.org/species/redkit1",false,redkit1
