"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
200512751,Photo,"Podiceps cristatus","Grèbe huppé",,"Andy  Woodward",1/20/2020,2020,1,20,1142,Switzerland,CH-GE,Genève,,"Rade de Genève (Geneva Bay)",46.2111,6.1597,,Inconnu,,Unspecified,,,,,,,,S63586790,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,3.5,2,committed,,,2393,4255,"https://macaulaylibrary.org/asset/200512751","https://ebird.org/view/checklist/S63586790","https://ebird.org/species/grcgre1",false,grcgre1
200195831,Photo,"Podiceps cristatus","Grèbe huppé",,"Stephen Chang",1/13/2020,2020,1,13,1000,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467759,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,2.0,1,committed,,,1690,2251,"https://macaulaylibrary.org/asset/200195831","https://ebird.org/view/checklist/S63467759","https://ebird.org/species/grcgre1",false,grcgre1
200195821,Photo,"Podiceps cristatus","Grèbe huppé",,"Stephen Chang",1/13/2020,2020,1,13,1000,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467759,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,3.0,1,committed,,,1644,2189,"https://macaulaylibrary.org/asset/200195821","https://ebird.org/view/checklist/S63467759","https://ebird.org/species/grcgre1",false,grcgre1
200108171,Photo,"Podiceps cristatus","Grèbe huppé",,"Stephen Chang",1/12/2020,2020,1,12,1100,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467665,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,2.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200108171","https://ebird.org/view/checklist/S63467665","https://ebird.org/species/grcgre1",false,grcgre1
200108141,Photo,"Podiceps cristatus","Grèbe huppé",,"Stephen Chang",1/12/2020,2020,1,12,1100,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467665,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,3.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200108141","https://ebird.org/view/checklist/S63467665","https://ebird.org/species/grcgre1",false,grcgre1
200108131,Photo,"Podiceps cristatus","Grèbe huppé",,"Stephen Chang",1/12/2020,2020,1,12,1100,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467665,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,4.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200108131","https://ebird.org/view/checklist/S63467665","https://ebird.org/species/grcgre1",false,grcgre1
199322721,Photo,"Podiceps cristatus","Grèbe huppé",,"Leonardo Rassu",10/16/2015,2015,10,16,935,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61514085,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,0.0,0,committed,,,1369,2052,"https://macaulaylibrary.org/asset/199322721","https://ebird.org/view/checklist/S61514085","https://ebird.org/species/grcgre1",false,grcgre1
199302761,Photo,"Podiceps cristatus","Grèbe huppé",,"BERNARD BOUGEARD",1/12/2020,2020,1,12,1400,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,,,Unspecified,,,,,,,,S63354672,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,0.0,0,committed,,,1979,2968,"https://macaulaylibrary.org/asset/199302761","https://ebird.org/view/checklist/S63354672","https://ebird.org/species/grcgre1",false,grcgre1
199115671,Photo,"Podiceps cristatus","Grèbe huppé",,"Leonardo Rassu",10/17/2015,2015,10,17,845,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61242059,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,0.0,0,committed,,,1882,2827,"https://macaulaylibrary.org/asset/199115671","https://ebird.org/view/checklist/S61242059","https://ebird.org/species/grcgre1",false,grcgre1
199046491,Photo,"Podiceps cristatus","Grèbe huppé",,"Renata Biancalana",7/1/2019,2019,7,1,900,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,,,Unspecified,,,,,,,,S58002993,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,0.0,0,committed,,"https://ebird.org/profile/Mjk0NTk2",1303,1823,"https://macaulaylibrary.org/asset/199046491","https://ebird.org/view/checklist/S58002993","https://ebird.org/species/grcgre1",false,grcgre1
198880471,Photo,"Podiceps cristatus","Grèbe huppé",,"Thomas Brooks",1/12/2020,2020,1,12,1007,Switzerland,CH-NE,Neuchâtel,,"Fanel (general area)",46.9797,7.0402,,Inconnu,,Unspecified,,,,,,,,S63304372,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,1.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/198880471","https://ebird.org/view/checklist/S63304372","https://ebird.org/species/grcgre1",false,grcgre1
198665371,Photo,"Podiceps cristatus","Grèbe huppé",,"Maryse Neukomm",1/11/2020,2020,1,11,1028,Switzerland,CH-SO,Solothurn,,Inkwilersee,47.1987,7.6628,,,,Unspecified,,,,,,,,S63274585,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,4.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1445,2167,"https://macaulaylibrary.org/asset/198665371","https://ebird.org/view/checklist/S63274585","https://ebird.org/species/grcgre1",false,grcgre1
198665361,Photo,"Podiceps cristatus","Grèbe huppé",,"Maryse Neukomm",1/11/2020,2020,1,11,1028,Switzerland,CH-SO,Solothurn,,Inkwilersee,47.1987,7.6628,,,,Unspecified,,,,,,,,S63274585,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,3.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1445,2167,"https://macaulaylibrary.org/asset/198665361","https://ebird.org/view/checklist/S63274585","https://ebird.org/species/grcgre1",false,grcgre1
198606441,Photo,"Podiceps cristatus","Grèbe huppé",,"Leonardo Rassu",4/23/2018,2018,4,23,1200,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S63258995,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,0.0,0,committed,,,1385,2080,"https://macaulaylibrary.org/asset/198606441","https://ebird.org/view/checklist/S63258995","https://ebird.org/species/grcgre1",false,grcgre1
198605931,Photo,"Podiceps cristatus","Grèbe huppé",,"Leonardo Rassu",4/25/2018,2018,4,25,1450,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61460650,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,0.0,0,committed,,,1507,2263,"https://macaulaylibrary.org/asset/198605931","https://ebird.org/view/checklist/S61460650","https://ebird.org/species/grcgre1",false,grcgre1
198161761,Photo,"Podiceps cristatus","Grèbe huppé",,"Leonardo Rassu",3/12/2016,2016,3,12,930,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61482707,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,0.0,0,committed,,,2446,3671,"https://macaulaylibrary.org/asset/198161761","https://ebird.org/view/checklist/S61482707","https://ebird.org/species/grcgre1",false,grcgre1
198161471,Photo,"Podiceps cristatus","Grèbe huppé",,"Leonardo Rassu",3/12/2016,2016,3,12,930,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61482707,,,,,,,,,"Podiceps cristatus",grcgre1,Species,1773.0,,,0.0,0,committed,,,2483,3723,"https://macaulaylibrary.org/asset/198161471","https://ebird.org/view/checklist/S61482707","https://ebird.org/species/grcgre1",false,grcgre1
