"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
200544391,Photo,"Netta rufina","Nette rousse",,"Berty & Ernst Haueter",1/9/2014,2014,1,9,1000,Switzerland,CH-SG,"Sankt Gallen",,Rapperswil--Kloster,47.2269,8.8115,,,,Unspecified,,,,,,,,S63594536,,,,,,,,,"Netta rufina",recpoc,Species,569.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ4NjM5MQ",2388,3214,"https://macaulaylibrary.org/asset/200544391","https://ebird.org/view/checklist/S63594536","https://ebird.org/species/recpoc",false,recpoc
200266451,Photo,"Netta rufina","Nette rousse",,"Berty & Ernst Haueter",1/22/2017,2017,1,22,1000,Switzerland,CH-ZH,Zürich,,"Tiefenbrunnen Zürich",47.3491,8.5604,,,,Unspecified,,,,,,,,S63548648,,,,,,,,,"Netta rufina",recpoc,Species,569.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ4NjM5MQ",2388,3214,"https://macaulaylibrary.org/asset/200266451","https://ebird.org/view/checklist/S63548648","https://ebird.org/species/recpoc",false,recpoc
199131911,Photo,"Netta rufina","Nette rousse",,"Andy  Woodward",1/13/2020,2020,1,13,1144,Switzerland,CH-GE,Genève,,"Rade de Genève (Geneva Bay)",46.2111,6.1597,,Inconnu,,Unspecified,,,,,,,,S63352190,,,,,,,,,"Netta rufina",recpoc,Species,569.0,,,4.0,1,committed,,,2833,5035,"https://macaulaylibrary.org/asset/199131911","https://ebird.org/view/checklist/S63352190","https://ebird.org/species/recpoc",false,recpoc
198606031,Photo,"Netta rufina","Nette rousse",,"Leonardo Rassu",4/23/2018,2018,4,23,1300,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Verzasca",46.1662,8.8574,,,,Unspecified,,,,,,,,S61622468,,,,,,,,,"Netta rufina",recpoc,Species,569.0,,,0.0,0,committed,,,1239,1859,"https://macaulaylibrary.org/asset/198606031","https://ebird.org/view/checklist/S61622468","https://ebird.org/species/recpoc",false,recpoc
193302841,Photo,"Netta rufina","Nette rousse",,"Fabio Lepori",12/15/2019,2019,12,15,1210,Switzerland,CH-SG,"Sankt Gallen",,Rapperswil--Holzbrücke,47.2206,8.8121,,,,Unspecified,,,,,,,,S62323545,,,,,"Adult male",,,,"Netta rufina",recpoc,Species,569.0,,,0.0,0,committed,,"https://ebird.org/profile/ODE1ODQ5",3888,5184,"https://macaulaylibrary.org/asset/193302841","https://ebird.org/view/checklist/S62323545","https://ebird.org/species/recpoc",false,recpoc
192425351,Photo,"Netta rufina","Nette rousse",,"Aleksandar Urošević",12/8/2019,2019,12,8,950,Switzerland,CH-GE,Genève,,"Parc Mon Repos et de la Perle du Lac",46.2199,6.1521,,Inconnu,,Unspecified,,,,,,,,S62196298,,,,,,,,,"Netta rufina",recpoc,Species,569.0,,,4.0,1,committed,,"https://ebird.org/profile/NTIxNTk5",2220,3366,"https://macaulaylibrary.org/asset/192425351","https://ebird.org/view/checklist/S62196298","https://ebird.org/species/recpoc",false,recpoc
191840881,Photo,"Netta rufina","Nette rousse",,"Chinmay Rahane",6/14/2011,2011,6,14,0,Switzerland,CH-LU,Luzern,,"Luzern--Inseli Park",47.0494,8.3142,,,,Unspecified,,,,,,,,S57708451,,,,,,,,,"Netta rufina",recpoc,Species,569.0,,,0.0,0,committed,,"https://ebird.org/profile/NDg0NDIy",2736,3648,"https://macaulaylibrary.org/asset/191840881","https://ebird.org/view/checklist/S57708451","https://ebird.org/species/recpoc",false,recpoc
191840871,Photo,"Netta rufina","Nette rousse",,"Chinmay Rahane",6/14/2011,2011,6,14,0,Switzerland,CH-LU,Luzern,,"Luzern--Inseli Park",47.0494,8.3142,,,,Unspecified,,,,,,,,S57708451,,,,,,,,,"Netta rufina",recpoc,Species,569.0,,,0.0,0,committed,,"https://ebird.org/profile/NDg0NDIy",2736,3648,"https://macaulaylibrary.org/asset/191840871","https://ebird.org/view/checklist/S57708451","https://ebird.org/species/recpoc",false,recpoc
191840861,Photo,"Netta rufina","Nette rousse",,"Chinmay Rahane",6/14/2011,2011,6,14,0,Switzerland,CH-LU,Luzern,,"Luzern--Inseli Park",47.0494,8.3142,,,,Unspecified,,,,,,,,S57708451,,,,,,,,,"Netta rufina",recpoc,Species,569.0,,,0.0,0,committed,,"https://ebird.org/profile/NDg0NDIy",2736,3648,"https://macaulaylibrary.org/asset/191840861","https://ebird.org/view/checklist/S57708451","https://ebird.org/species/recpoc",false,recpoc
191600671,Photo,"Netta rufina","Nette rousse",,"James Court",3/29/2018,2018,3,29,0,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,,,Unspecified,,,,,,,,S62027918,,,,,,,,,"Netta rufina",recpoc,Species,569.0,,,4.0,1,committed,,"https://ebird.org/profile/OTUwODA5",3333,4445,"https://macaulaylibrary.org/asset/191600671","https://ebird.org/view/checklist/S62027918","https://ebird.org/species/recpoc",false,recpoc
