"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
206607791,Photo,"Cygnus olor","Cygne tuberculé",,"Tarachand Wanvari",8/28/2015,2015,8,28,1635,Switzerland,CH-ZH,Zürich,,Seefeldquai,47.3626,8.5468,,,,Unspecified,,,,,,,,S63999251,,,,,"Camera time settings were India settings, which is about 3.5 hours ahead of Swiss time",,,,"Cygnus olor",mutswa,Species,330.0,,,0.0,0,committed,,"https://ebird.org/profile/NTAyOTQ3",2761,2761,"https://macaulaylibrary.org/asset/206607791","https://ebird.org/view/checklist/S63999251","https://ebird.org/species/mutswa",false,mutswa
203864751,Photo,"Cygnus olor","Cygne tuberculé",,"Peter Hinow",7/3/2017,2017,7,3,1030,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,,,Unspecified,,,,,,,,S63031591,,,,,,,,,"Cygnus olor",mutswa,Species,330.0,,,0.0,0,committed,,"https://ebird.org/profile/NjU4MTIw",724,1086,"https://macaulaylibrary.org/asset/203864751","https://ebird.org/view/checklist/S63031591","https://ebird.org/species/mutswa",false,mutswa
203859691,Photo,"Cygnus olor","Cygne tuberculé",,"Darko Matevski",1/30/2020,2020,1,30,1241,Switzerland,CH-BS,Basel-Stadt,,"7 Oberer Rheinweg, Basel, Basel-Stadt, CH (47.56, 7.591)",47.5599,7.5913,,,,Unspecified,,,,,,,,S63932085,,,,,,,,,"Cygnus olor",mutswa,Species,330.0,,,0.0,0,committed,,"https://ebird.org/profile/MTI0MDk4Ng",3024,4032,"https://macaulaylibrary.org/asset/203859691","https://ebird.org/view/checklist/S63932085","https://ebird.org/species/mutswa",false,mutswa
202338651,Photo,"Cygnus olor","Cygne tuberculé",,"Maryse Neukomm",1/21/2020,2020,1,21,1217,Switzerland,CH-BL,Basel-Landschaft,,"Ergolzmündung Augst-Kaiseraugst",47.5382,7.7138,,,,Unspecified,,,,,,,,S63620875,,,,,,,,,"Cygnus olor",mutswa,Species,330.0,,,3.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",4394,2929,"https://macaulaylibrary.org/asset/202338651","https://ebird.org/view/checklist/S63620875","https://ebird.org/species/mutswa",false,mutswa
202338571,Photo,"Cygnus olor","Cygne tuberculé",,"Maryse Neukomm",1/21/2020,2020,1,21,1217,Switzerland,CH-BL,Basel-Landschaft,,"Ergolzmündung Augst-Kaiseraugst",47.5382,7.7138,,,,Unspecified,,,,,,,,S63620875,,,,,,,,,"Cygnus olor",mutswa,Species,330.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA1ODgwNQ",3353,2235,"https://macaulaylibrary.org/asset/202338571","https://ebird.org/view/checklist/S63620875","https://ebird.org/species/mutswa",false,mutswa
202338561,Photo,"Cygnus olor","Cygne tuberculé",,"Maryse Neukomm",1/21/2020,2020,1,21,1217,Switzerland,CH-BL,Basel-Landschaft,,"Ergolzmündung Augst-Kaiseraugst",47.5382,7.7138,,,,Unspecified,,,,,,,,S63620875,,,,,,,,,"Cygnus olor",mutswa,Species,330.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",3417,2278,"https://macaulaylibrary.org/asset/202338561","https://ebird.org/view/checklist/S63620875","https://ebird.org/species/mutswa",false,mutswa
202338541,Photo,"Cygnus olor","Cygne tuberculé",,"Maryse Neukomm",1/21/2020,2020,1,21,1217,Switzerland,CH-BL,Basel-Landschaft,,"Ergolzmündung Augst-Kaiseraugst",47.5382,7.7138,,,,Unspecified,,,,,,,,S63620875,,,,,,,,,"Cygnus olor",mutswa,Species,330.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",2181,3271,"https://macaulaylibrary.org/asset/202338541","https://ebird.org/view/checklist/S63620875","https://ebird.org/species/mutswa",false,mutswa
202338511,Photo,"Cygnus olor","Cygne tuberculé",,"Maryse Neukomm",1/21/2020,2020,1,21,1217,Switzerland,CH-BL,Basel-Landschaft,,"Ergolzmündung Augst-Kaiseraugst",47.5382,7.7138,,,,Unspecified,,,,,,,,S63620875,,,,,,,,,"Cygnus olor",mutswa,Species,330.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1965,2947,"https://macaulaylibrary.org/asset/202338511","https://ebird.org/view/checklist/S63620875","https://ebird.org/species/mutswa",false,mutswa
202338501,Photo,"Cygnus olor","Cygne tuberculé",,"Maryse Neukomm",1/21/2020,2020,1,21,1217,Switzerland,CH-BL,Basel-Landschaft,,"Ergolzmündung Augst-Kaiseraugst",47.5382,7.7138,,,,Unspecified,,,,,,,,S63620875,,,,,,,,,"Cygnus olor",mutswa,Species,330.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA1ODgwNQ",2705,2112,"https://macaulaylibrary.org/asset/202338501","https://ebird.org/view/checklist/S63620875","https://ebird.org/species/mutswa",false,mutswa
202338481,Photo,"Cygnus olor","Cygne tuberculé",,"Maryse Neukomm",1/21/2020,2020,1,21,1217,Switzerland,CH-BL,Basel-Landschaft,,"Ergolzmündung Augst-Kaiseraugst",47.5382,7.7138,,,,Unspecified,,,,,,,,S63620875,,,,,,,,,"Cygnus olor",mutswa,Species,330.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1831,2746,"https://macaulaylibrary.org/asset/202338481","https://ebird.org/view/checklist/S63620875","https://ebird.org/species/mutswa",false,mutswa
