"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
200231431,Photo,"Mergus merganser","Grand Harle",,"Denis Neukomm",1/18/2020,2020,1,18,1315,Switzerland,CH-FR,Freiburg,,"Port et Canal de Gletterens",46.9082,6.9285,,,,Unspecified,,,,,,,,S63537970,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,5.0,1,committed,,,1277,851,"https://macaulaylibrary.org/asset/200231431","https://ebird.org/view/checklist/S63537970","https://ebird.org/species/commer",false,commer
200229661,Photo,"Mergus merganser","Grand Harle",,"Maryse Neukomm",1/18/2020,2020,1,18,940,Switzerland,CH-NE,Neuchâtel,,"Fanel (general area)",46.9797,7.0402,,,,Unspecified,,,,,,,,S63511837,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1714,2571,"https://macaulaylibrary.org/asset/200229661","https://ebird.org/view/checklist/S63511837","https://ebird.org/species/commer",false,commer
200229651,Photo,"Mergus merganser","Grand Harle",,"Maryse Neukomm",1/18/2020,2020,1,18,940,Switzerland,CH-NE,Neuchâtel,,"Fanel (general area)",46.9797,7.0402,,,,Unspecified,,,,,,,,S63511837,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1432,2148,"https://macaulaylibrary.org/asset/200229651","https://ebird.org/view/checklist/S63511837","https://ebird.org/species/commer",false,commer
200229521,Photo,"Mergus merganser","Grand Harle",,"Maryse Neukomm",1/18/2020,2020,1,18,1315,Switzerland,CH-FR,Freiburg,,"Port et Canal de Gletterens",46.9082,6.9285,,,,Unspecified,,,,,,,,S63512294,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1764,2646,"https://macaulaylibrary.org/asset/200229521","https://ebird.org/view/checklist/S63512294","https://ebird.org/species/commer",false,commer
200229511,Photo,"Mergus merganser","Grand Harle",,"Maryse Neukomm",1/18/2020,2020,1,18,1315,Switzerland,CH-FR,Freiburg,,"Port et Canal de Gletterens",46.9082,6.9285,,,,Unspecified,,,,,,,,S63512294,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1199,1799,"https://macaulaylibrary.org/asset/200229511","https://ebird.org/view/checklist/S63512294","https://ebird.org/species/commer",false,commer
200221181,Photo,"Mergus merganser","Grand Harle",,"Marta Jornet",1/17/2020,2020,1,17,800,Switzerland,CH-ZH,Zürich,,"Next to the train station",47.3773,8.5431,,,,Unspecified,,,,,,,,S63537717,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,0.0,0,committed,,,3456,4608,"https://macaulaylibrary.org/asset/200221181","https://ebird.org/view/checklist/S63537717","https://ebird.org/species/commer",false,commer
200199081,Photo,"Mergus merganser merganser/orientalis","Grand Harle [merganser ou orientalis]",,"Stephen Chang",1/14/2020,2020,1,14,1500,Switzerland,CH-ZH,Zürich,,Zürich--Platzspitz,47.3811,8.5397,,Inconnu,,Unspecified,,,,,,,,S63467809,,,,,,,,,"Mergus merganser",goosan1,Groupe,659.0,,,2.0,1,committed,,,1108,1476,"https://macaulaylibrary.org/asset/200199081","https://ebird.org/view/checklist/S63467809","https://ebird.org/species/commer",false,commer
200014641,Photo,"Mergus merganser","Grand Harle",,"Berty & Ernst Haueter",1/22/2012,2012,1,22,900,Switzerland,CH-ZH,Zürich,,"Dietikon Limmatufer",47.4056,8.4069,,,,Unspecified,,,,,,,,S63502620,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ4NjM5MQ",2491,3378,"https://macaulaylibrary.org/asset/200014641","https://ebird.org/view/checklist/S63502620","https://ebird.org/species/commer",false,commer
200014621,Photo,"Mergus merganser","Grand Harle",,"Berty & Ernst Haueter",1/22/2012,2012,1,22,900,Switzerland,CH-ZH,Zürich,,"Dietikon Limmatufer",47.4056,8.4069,,,,Unspecified,,,,,,,,S63502620,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ4NjM5MQ",2416,3382,"https://macaulaylibrary.org/asset/200014621","https://ebird.org/view/checklist/S63502620","https://ebird.org/species/commer",false,commer
199302691,Photo,"Mergus merganser","Grand Harle",,"BERNARD BOUGEARD",1/12/2020,2020,1,12,1400,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,,,Unspecified,,,,,,,,S63354672,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,0.0,0,committed,,,2912,4368,"https://macaulaylibrary.org/asset/199302691","https://ebird.org/view/checklist/S63354672","https://ebird.org/species/commer",false,commer
199302681,Photo,"Mergus merganser","Grand Harle",,"BERNARD BOUGEARD",1/12/2020,2020,1,12,1400,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,,,Unspecified,,,,,,,,S63354672,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,5.0,1,committed,,,2235,3352,"https://macaulaylibrary.org/asset/199302681","https://ebird.org/view/checklist/S63354672","https://ebird.org/species/commer",false,commer
199302671,Photo,"Mergus merganser","Grand Harle",,"BERNARD BOUGEARD",1/12/2020,2020,1,12,1400,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,,,Unspecified,,,,,,,,S63354672,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,5.0,1,committed,,,2113,3170,"https://macaulaylibrary.org/asset/199302671","https://ebird.org/view/checklist/S63354672","https://ebird.org/species/commer",false,commer
198660771,Photo,"Mergus merganser","Grand Harle",,"Andy  Woodward",1/11/2020,2020,1,11,835,Switzerland,CH-VD,Vaud,,"Les Grangettes (general area)",46.3913,6.8971,,Inconnu,,Unspecified,,,,,,,,S63268379,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,4.0,1,committed,,,2914,5180,"https://macaulaylibrary.org/asset/198660771","https://ebird.org/view/checklist/S63268379","https://ebird.org/species/commer",false,commer
198307881,Photo,"Mergus merganser","Grand Harle",,"Maryse Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202042,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",2234,3351,"https://macaulaylibrary.org/asset/198307881","https://ebird.org/view/checklist/S63202042","https://ebird.org/species/commer",false,commer
198307631,Photo,"Mergus merganser","Grand Harle",,"Maryse Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202042,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",2060,3090,"https://macaulaylibrary.org/asset/198307631","https://ebird.org/view/checklist/S63202042","https://ebird.org/species/commer",false,commer
198307441,Photo,"Mergus merganser","Grand Harle",,"Maryse Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202042,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1731,2596,"https://macaulaylibrary.org/asset/198307441","https://ebird.org/view/checklist/S63202042","https://ebird.org/species/commer",false,commer
198307411,Photo,"Mergus merganser","Grand Harle",,"Maryse Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202042,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1731,2596,"https://macaulaylibrary.org/asset/198307411","https://ebird.org/view/checklist/S63202042","https://ebird.org/species/commer",false,commer
198307071,Photo,"Mergus merganser","Grand Harle",,"Maryse Neukomm",1/9/2020,2020,1,9,1455,Switzerland,CH-BL,Basel-Landschaft,,"Allschwiler Weiher, Basel-Landschaft,",47.5442,7.5546,,,,Unspecified,,,,,,,,S63202042,,,,,,,,,"Mergus merganser",commer,Species,658.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1262,1893,"https://macaulaylibrary.org/asset/198307071","https://ebird.org/view/checklist/S63202042","https://ebird.org/species/commer",false,commer
