"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
202338471,Photo,"Aythya fuligula","Fuligule morillon",,"Maryse Neukomm",1/21/2020,2020,1,21,1217,Switzerland,CH-BL,Basel-Landschaft,,"Ergolzmündung Augst-Kaiseraugst",47.5382,7.7138,,,,Unspecified,,,,,,,,S63620875,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1678,2517,"https://macaulaylibrary.org/asset/202338471","https://ebird.org/view/checklist/S63620875","https://ebird.org/species/tufduc",false,tufduc
200195641,Photo,"Aythya fuligula","Fuligule morillon",,"Stephen Chang",1/13/2020,2020,1,13,1000,Switzerland,CH-ZH,Zürich,,"Zürich Stadt (City of Zurich)",47.3769,8.5414,,Inconnu,,Unspecified,,,,,,,,S63467759,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,3.0,1,committed,,,3672,4896,"https://macaulaylibrary.org/asset/200195641","https://ebird.org/view/checklist/S63467759","https://ebird.org/species/tufduc",false,tufduc
200015041,Photo,"Aythya fuligula","Fuligule morillon",,"Berty & Ernst Haueter",1/6/2013,2013,1,6,1000,Switzerland,CH-ZH,Zürich,,Zürichhorn,47.3532,8.5505,,,,Unspecified,,,,,,,,S63502728,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ4NjM5MQ",3240,4320,"https://macaulaylibrary.org/asset/200015041","https://ebird.org/view/checklist/S63502728","https://ebird.org/species/tufduc",false,tufduc
199553811,Photo,"Aythya fuligula","Fuligule morillon",,"Maryse Neukomm",1/15/2020,2020,1,15,1221,Switzerland,CH-BL,Basel-Landschaft,,"Ergolzmündung Augst-Kaiseraugst",47.5382,7.7138,,Inconnu,,Unspecified,,,,,,,,S63427442,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,4.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1237,1855,"https://macaulaylibrary.org/asset/199553811","https://ebird.org/view/checklist/S63427442","https://ebird.org/species/tufduc",false,tufduc
199302631,Photo,"Aythya fuligula","Fuligule morillon",,"BERNARD BOUGEARD",1/12/2020,2020,1,12,1400,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,,,Unspecified,,,,,,,,S63354672,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,0.0,0,committed,,,3381,5072,"https://macaulaylibrary.org/asset/199302631","https://ebird.org/view/checklist/S63354672","https://ebird.org/species/tufduc",false,tufduc
199302611,Photo,"Aythya fuligula","Fuligule morillon",,"BERNARD BOUGEARD",1/12/2020,2020,1,12,1400,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,,,Unspecified,,,,,,,,S63354672,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,0.0,0,committed,,,2955,4432,"https://macaulaylibrary.org/asset/199302611","https://ebird.org/view/checklist/S63354672","https://ebird.org/species/tufduc",false,tufduc
199302601,Photo,"Aythya fuligula","Fuligule morillon",,"BERNARD BOUGEARD",1/12/2020,2020,1,12,1400,Switzerland,CH-GE,Genève,,"Port des Eaux-Vives et Baby-plage",46.2092,6.1624,,,,Unspecified,,,,,,,,S63354672,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,0.0,0,committed,,,2598,3897,"https://macaulaylibrary.org/asset/199302601","https://ebird.org/view/checklist/S63354672","https://ebird.org/species/tufduc",false,tufduc
198660631,Photo,"Aythya fuligula","Fuligule morillon",,"Andy  Woodward",1/11/2020,2020,1,11,835,Switzerland,CH-VD,Vaud,,"Les Grangettes (general area)",46.3913,6.8971,,Inconnu,,Unspecified,,,,,,,,S63268379,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,4.0,1,committed,,,2239,3981,"https://macaulaylibrary.org/asset/198660631","https://ebird.org/view/checklist/S63268379","https://ebird.org/species/tufduc",false,tufduc
198605861,Photo,"Aythya fuligula","Fuligule morillon",,"Leonardo Rassu",4/25/2018,2018,4,25,1450,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61460650,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,0.0,0,committed,,,1746,2619,"https://macaulaylibrary.org/asset/198605861","https://ebird.org/view/checklist/S61460650","https://ebird.org/species/tufduc",false,tufduc
198605641,Photo,"Aythya fuligula","Fuligule morillon",,"Leonardo Rassu",4/25/2018,2018,4,25,1450,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61460650,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,0.0,0,committed,,,1563,2347,"https://macaulaylibrary.org/asset/198605641","https://ebird.org/view/checklist/S61460650","https://ebird.org/species/tufduc",false,tufduc
198031881,Photo,"Aythya fuligula","Fuligule morillon",,"Thomas Brooks",1/5/2020,2020,1,5,1327,Switzerland,CH-VD,Vaud,,"Les Grangettes (general area)",46.3913,6.8971,,Inconnu,"En vol",Unspecified,,,,,,,,S63042659,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,1.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/198031881","https://ebird.org/view/checklist/S63042659","https://ebird.org/species/tufduc",false,tufduc
198031871,Photo,"Aythya fuligula","Fuligule morillon",,"Thomas Brooks",1/5/2020,2020,1,5,1327,Switzerland,CH-VD,Vaud,,"Les Grangettes (general area)",46.3913,6.8971,,Inconnu,"En vol",Unspecified,,,,,,,,S63042659,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,1.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/198031871","https://ebird.org/view/checklist/S63042659","https://ebird.org/species/tufduc",false,tufduc
198031861,Photo,"Aythya fuligula","Fuligule morillon",,"Thomas Brooks",1/5/2020,2020,1,5,1327,Switzerland,CH-VD,Vaud,,"Les Grangettes (general area)",46.3913,6.8971,,Inconnu,"En vol",Unspecified,,,,,,,,S63042659,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,1.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/198031861","https://ebird.org/view/checklist/S63042659","https://ebird.org/species/tufduc",false,tufduc
197708531,Photo,"Aythya fuligula","Fuligule morillon",,"Maryse Neukomm",1/6/2020,2020,1,6,1044,Switzerland,CH-AG,Aargau,,"Klingnauer Stausee",47.5833,8.2333,,,,Unspecified,,,,,,,,S63086999,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1916,2874,"https://macaulaylibrary.org/asset/197708531","https://ebird.org/view/checklist/S63086999","https://ebird.org/species/tufduc",false,tufduc
197708021,Photo,"Aythya fuligula","Fuligule morillon",,"Maryse Neukomm",1/6/2020,2020,1,6,1044,Switzerland,CH-AG,Aargau,,"Klingnauer Stausee",47.5833,8.2333,,,,Unspecified,,,,,,,,S63086999,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1560,2340,"https://macaulaylibrary.org/asset/197708021","https://ebird.org/view/checklist/S63086999","https://ebird.org/species/tufduc",false,tufduc
196308131,Photo,"Aythya fuligula","Fuligule morillon",,"Jessy Lopez Herra",12/31/2019,2019,12,31,1427,Switzerland,CH-SG,"Sankt Gallen",,"Jona Stampf",47.2148,8.8441,,,,Unspecified,,,,,,,,S62809026,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,0.0,0,committed,,"https://ebird.org/profile/NzU0NDEx",3456,4608,"https://macaulaylibrary.org/asset/196308131","https://ebird.org/view/checklist/S62809026","https://ebird.org/species/tufduc",false,tufduc
196308081,Photo,"Aythya fuligula","Fuligule morillon",,"Jessy Lopez Herra",12/31/2019,2019,12,31,1427,Switzerland,CH-SG,"Sankt Gallen",,"Jona Stampf",47.2148,8.8441,,,,Unspecified,,,,,,,,S62809026,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,0.0,0,committed,,"https://ebird.org/profile/NzU0NDEx",3456,4608,"https://macaulaylibrary.org/asset/196308081","https://ebird.org/view/checklist/S62809026","https://ebird.org/species/tufduc",false,tufduc
196308051,Photo,"Aythya fuligula","Fuligule morillon",,"Jessy Lopez Herra",12/31/2019,2019,12,31,1427,Switzerland,CH-SG,"Sankt Gallen",,"Jona Stampf",47.2148,8.8441,,,,Unspecified,,,,,,,,S62809026,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,0.0,0,committed,,"https://ebird.org/profile/NzU0NDEx",3456,4608,"https://macaulaylibrary.org/asset/196308051","https://ebird.org/view/checklist/S62809026","https://ebird.org/species/tufduc",false,tufduc
196082351,Photo,"Aythya fuligula","Fuligule morillon",,"Leonardo Rassu",3/10/2017,2017,3,10,845,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61465436,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,0.0,0,committed,,,1221,1831,"https://macaulaylibrary.org/asset/196082351","https://ebird.org/view/checklist/S61465436","https://ebird.org/species/tufduc",false,tufduc
194112431,Photo,"Aythya fuligula","Fuligule morillon",,"Floris Schenk",3/20/2017,2017,3,20,1200,Switzerland,CH-LU,Luzern,,"Luzern--Wasserturm und Kapellbrücke",47.0512,8.3071,,,,Unspecified,,,,,,,,S62461894,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,4.0,1,committed,,,1889,2361,"https://macaulaylibrary.org/asset/194112431","https://ebird.org/view/checklist/S62461894","https://ebird.org/species/tufduc",false,tufduc
193719021,Photo,"Aythya fuligula","Fuligule morillon",,"Leonardo Rassu",5/10/2019,2019,5,10,1015,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Sud--Foce Fiume Ticino",46.1555,8.8568,,,,Unspecified,,,,,,,,S61482790,,,,,,,,,"Aythya fuligula",tufduc,Species,591.0,,,0.0,0,committed,,,1608,2412,"https://macaulaylibrary.org/asset/193719021","https://ebird.org/view/checklist/S61482790","https://ebird.org/species/tufduc",false,tufduc
