"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
203064891,Photo,"Buteo buteo","Buse variable",,"Alexandre Figueiredo",1/25/2020,2020,1,25,1300,Switzerland,CH-ZH,Zürich,,Katzensee,47.4316,8.4959,,,,Unspecified,,,,,,,,S63818847,,,,,,,,,"Buteo buteo",combuz1,Species,8040.0,,,0.0,0,committed,,"https://ebird.org/profile/MTExNjE5MQ",4618,3464,"https://macaulaylibrary.org/asset/203064891","https://ebird.org/view/checklist/S63818847","https://ebird.org/species/combuz1",false,combuz1
198659341,Photo,"Buteo buteo","Buse variable",,"Andy  Woodward",1/11/2020,2020,1,11,835,Switzerland,CH-VD,Vaud,,"Les Grangettes (general area)",46.3913,6.8971,,Inconnu,,Unspecified,,,,,,,,S63268379,,,,,,,,,"Buteo buteo",combuz1,Species,8040.0,,,2.0,1,committed,,,530,942,"https://macaulaylibrary.org/asset/198659341","https://ebird.org/view/checklist/S63268379","https://ebird.org/species/combuz1",false,combuz1
190822271,Photo,"Buteo buteo","Buse variable",,"Thomas Brooks",12/1/2019,2019,12,1,1315,Switzerland,CH-VD,Vaud,,Coppet,46.3179,6.1875,,Inconnu,,Unspecified,,,,,,,,S61892154,,,,,,,,,"Buteo buteo",combuz1,Species,8040.0,,,2.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/190822271","https://ebird.org/view/checklist/S61892154","https://ebird.org/species/combuz1",false,combuz1
190814981,Photo,"Buteo buteo","Buse variable",,"Thomas Brooks",12/1/2019,2019,12,1,1315,Switzerland,CH-VD,Vaud,,Coppet,46.3179,6.1875,,Inconnu,,Unspecified,,,,,,,,S61892154,,,,,,,,,"Buteo buteo",combuz1,Species,8040.0,,,3.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/190814981","https://ebird.org/view/checklist/S61892154","https://ebird.org/species/combuz1",false,combuz1
189362841,Photo,"Buteo buteo","Buse variable",,"Leonardo Rassu",9/27/2014,2014,9,27,0,Switzerland,CH-TI,Ticino,,"Montagnola, Ticino, CH",45.9824,8.9198,,,,Unspecified,,,,,,,,S61671506,,,,,,,,,"Buteo buteo",combuz1,Species,8040.0,,,0.0,0,committed,,,817,1217,"https://macaulaylibrary.org/asset/189362841","https://ebird.org/view/checklist/S61671506","https://ebird.org/species/combuz1",false,combuz1
189362461,Photo,"Buteo buteo","Buse variable",,"Leonardo Rassu",9/20/2014,2014,9,20,0,Switzerland,CH-TI,Ticino,,"Montagnola, Ticino, CH",45.9824,8.9198,,,,Unspecified,,,,,,,,S61671521,,,,,,,,,"Buteo buteo",combuz1,Species,8040.0,,,0.0,0,committed,,,817,1228,"https://macaulaylibrary.org/asset/189362461","https://ebird.org/view/checklist/S61671521","https://ebird.org/species/combuz1",false,combuz1
189059561,Photo,"Buteo buteo","Buse variable",,"Alex Viechec",11/21/2019,2019,11,21,1500,Switzerland,CH-ZH,Zürich,,"Glatt River--Opfikon",47.4315,8.57,,,,Unspecified,,,,,,,,S61632949,,,,,"With rodent",,,,"Buteo buteo",combuz1,Species,8040.0,,,0.0,0,committed,,"https://ebird.org/profile/ODA4OTI0",1381,1370,"https://macaulaylibrary.org/asset/189059561","https://ebird.org/view/checklist/S61632949","https://ebird.org/species/combuz1",false,combuz1
189059551,Photo,"Buteo buteo","Buse variable",,"Alex Viechec",11/21/2019,2019,11,21,1500,Switzerland,CH-ZH,Zürich,,"Glatt River--Opfikon",47.4315,8.57,,,,Unspecified,,,,,,,,S61632949,,,,,"With rodent",,,,"Buteo buteo",combuz1,Species,8040.0,,,0.0,0,committed,,"https://ebird.org/profile/ODA4OTI0",2189,3376,"https://macaulaylibrary.org/asset/189059551","https://ebird.org/view/checklist/S61632949","https://ebird.org/species/combuz1",false,combuz1
187499401,Photo,"Buteo buteo","Buse variable",,"guillaume cussonneau",11/9/2019,2019,11,9,1221,Switzerland,CH-ZH,Zürich,,"Irchel Wald",47.4004,8.5562,,,,Unspecified,,,,,,,,S61299740,,,,,,,,,"Buteo buteo",combuz1,Species,8040.0,,,2.0,1,committed,,"https://ebird.org/profile/MTQxMjY3Mg",1618,2876,"https://macaulaylibrary.org/asset/187499401","https://ebird.org/view/checklist/S61299740","https://ebird.org/species/combuz1",false,combuz1
187499391,Photo,"Buteo buteo","Buse variable",,"guillaume cussonneau",11/9/2019,2019,11,9,1221,Switzerland,CH-ZH,Zürich,,"Irchel Wald",47.4004,8.5562,,,,Unspecified,,,,,,,,S61299740,,,,,,,,,"Buteo buteo",combuz1,Species,8040.0,,,3.0,1,committed,,"https://ebird.org/profile/MTQxMjY3Mg",1394,2480,"https://macaulaylibrary.org/asset/187499391","https://ebird.org/view/checklist/S61299740","https://ebird.org/species/combuz1",false,combuz1
