"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
203835721,Photo,"Ardea cinerea","Héron cendré",,"Thomas Brooks",1/17/2020,2020,1,17,750,Switzerland,CH-VD,Vaud,,"Île de Préverenges",46.5074,6.5355,,,,Unspecified,,,,,,,,S63468005,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,0.0,0,committed,,,3456,4608,"https://macaulaylibrary.org/asset/203835721","https://ebird.org/view/checklist/S63468005","https://ebird.org/species/graher1",false,graher1
203064751,Photo,"Ardea cinerea","Héron cendré",,"Alexandre Figueiredo",1/25/2020,2020,1,25,1300,Switzerland,CH-ZH,Zürich,,Katzensee,47.4316,8.4959,,,,Unspecified,,,,,,,,S63818847,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,0.0,0,committed,,"https://ebird.org/profile/MTExNjE5MQ",4618,3464,"https://macaulaylibrary.org/asset/203064751","https://ebird.org/view/checklist/S63818847","https://ebird.org/species/graher1",false,graher1
200725761,Photo,"Ardea cinerea","Héron cendré",,"Berty & Ernst Haueter",9/14/2014,2014,9,14,1100,Switzerland,CH-AG,Aargau,,"Klingnauer Stausee",47.5833,8.2333,,,,Unspecified,,,,,,,,S63619335,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ4NjM5MQ",3240,4320,"https://macaulaylibrary.org/asset/200725761","https://ebird.org/view/checklist/S63619335","https://ebird.org/species/graher1",false,graher1
200541201,Photo,"Ardea cinerea","Héron cendré",,"Berty & Ernst Haueter",4/17/2012,2012,4,17,940,Switzerland,CH-ZH,Zürich,,"Garten Höngg Heizenholz",47.413,8.4802,,,,Unspecified,,,,,,,,S63594087,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ4NjM5MQ",2094,2787,"https://macaulaylibrary.org/asset/200541201","https://ebird.org/view/checklist/S63594087","https://ebird.org/species/graher1",false,graher1
200229601,Photo,"Ardea cinerea","Héron cendré",,"Maryse Neukomm",1/18/2020,2020,1,18,940,Switzerland,CH-NE,Neuchâtel,,"Fanel (general area)",46.9797,7.0402,,,,Unspecified,,,,,,,,S63511837,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1391,2086,"https://macaulaylibrary.org/asset/200229601","https://ebird.org/view/checklist/S63511837","https://ebird.org/species/graher1",false,graher1
200229591,Photo,"Ardea cinerea","Héron cendré",,"Maryse Neukomm",1/18/2020,2020,1,18,940,Switzerland,CH-NE,Neuchâtel,,"Fanel (general area)",46.9797,7.0402,,,,Unspecified,,,,,,,,S63511837,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA1ODgwNQ",1231,1847,"https://macaulaylibrary.org/asset/200229591","https://ebird.org/view/checklist/S63511837","https://ebird.org/species/graher1",false,graher1
199350681,Photo,"Ardea cinerea","Héron cendré",,"Andy  Woodward",1/14/2020,2020,1,14,1601,Switzerland,CH-GE,Genève,,"Marais de Sionnet",46.2324,6.2365,,Inconnu,,Unspecified,,,,,,,,S63389389,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,3.0,2,committed,,,2914,5180,"https://macaulaylibrary.org/asset/199350681","https://ebird.org/view/checklist/S63389389","https://ebird.org/species/graher1",false,graher1
199349371,Photo,"Ardea cinerea","Héron cendré",,"Leonardo Rassu",10/10/2015,2015,10,10,845,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,Inconnu,"En vol",Unspecified,,,,,,,,S61329944,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,0.0,0,committed,,,1554,2333,"https://macaulaylibrary.org/asset/199349371","https://ebird.org/view/checklist/S61329944","https://ebird.org/species/graher1",false,graher1
199322811,Photo,"Ardea cinerea","Héron cendré",,"Leonardo Rassu",10/16/2015,2015,10,16,935,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61514085,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,0.0,0,committed,,,1376,2066,"https://macaulaylibrary.org/asset/199322811","https://ebird.org/view/checklist/S61514085","https://ebird.org/species/graher1",false,graher1
199110471,Photo,"Ardea cinerea","Héron cendré",,"Leonardo Rassu",10/17/2015,2015,10,17,845,Switzerland,CH-TI,Ticino,,"Bolle di Magadino--Nord--Bolla Rossa",46.1618,8.8571,,,,Unspecified,,,,,,,,S61242059,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,0.0,0,committed,,,1260,1890,"https://macaulaylibrary.org/asset/199110471","https://ebird.org/view/checklist/S61242059","https://ebird.org/species/graher1",false,graher1
198877401,Photo,"Ardea cinerea","Héron cendré",,"Thomas Brooks",1/12/2020,2020,1,12,1007,Switzerland,CH-NE,Neuchâtel,,"Fanel (general area)",46.9797,7.0402,,Inconnu,,Unspecified,,,,,,,,S63304372,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,2.0,1,committed,,,3456,4608,"https://macaulaylibrary.org/asset/198877401","https://ebird.org/view/checklist/S63304372","https://ebird.org/species/graher1",false,graher1
198679331,Photo,"Ardea cinerea","Héron cendré",,"Maryse Neukomm",1/11/2020,2020,1,11,1341,Switzerland,CH-SO,Solothurn,,"Altreu Insel",47.1894,7.4574,,,,Unspecified,,,,,,,,S63274583,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",3322,3714,"https://macaulaylibrary.org/asset/198679331","https://ebird.org/view/checklist/S63274583","https://ebird.org/species/graher1",false,graher1
198679311,Photo,"Ardea cinerea","Héron cendré",,"Maryse Neukomm",1/11/2020,2020,1,11,1341,Switzerland,CH-SO,Solothurn,,"Altreu Insel",47.1894,7.4574,,,,Unspecified,,,,,,,,S63274583,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",2811,4216,"https://macaulaylibrary.org/asset/198679311","https://ebird.org/view/checklist/S63274583","https://ebird.org/species/graher1",false,graher1
198679271,Photo,"Ardea cinerea","Héron cendré",,"Maryse Neukomm",1/11/2020,2020,1,11,1341,Switzerland,CH-SO,Solothurn,,"Altreu Insel",47.1894,7.4574,,,,Unspecified,,,,,,,,S63274583,,,,,,,,,"Ardea cinerea",graher1,Species,7100.0,,,5.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",2811,4216,"https://macaulaylibrary.org/asset/198679271","https://ebird.org/view/checklist/S63274583","https://ebird.org/species/graher1",false,graher1
