"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)",Comments,"Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,report_as
202217061,Photo,"Turdus merula","Merle noir",,"Василий Калиниченко",1/4/2020,2020,1,4,838,Switzerland,CH-GE,Genève,,"Hotel NH Geneva Aeroport",46.2278,6.0857,,,,Unspecified,,,,,,,,S63674858,,,,,,,,,"Turdus merula",eurbla,Species,27357.0,,,0.0,0,committed,,"https://ebird.org/profile/MTIzMzk2NA",3712,5568,"https://macaulaylibrary.org/asset/202217061","https://ebird.org/view/checklist/S63674858","https://ebird.org/species/eurbla",false,eurbla
200539341,Photo,"Turdus merula","Merle noir",,"Berty & Ernst Haueter",10/26/2013,2013,10,26,1500,Switzerland,CH-ZH,Zürich,,"Garten Höngg Heizenholz",47.413,8.4802,,,,Unspecified,,,,,,,,S63593681,,,,,,,,,"Turdus merula",eurbla,Species,27357.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ4NjM5MQ",768,1024,"https://macaulaylibrary.org/asset/200539341","https://ebird.org/view/checklist/S63593681","https://ebird.org/species/eurbla",false,eurbla
199185951,Photo,"Turdus merula","Merle noir",,"Leonardo Rassu",2/7/2015,2015,2,7,920,Switzerland,CH-TI,Ticino,,"Montagnola, Ticino, CH",45.9824,8.9198,,,,Unspecified,,,,,,,,S61438653,,,,,,,,,"Turdus merula",eurbla,Species,27357.0,,,0.0,0,committed,,,2194,3291,"https://macaulaylibrary.org/asset/199185951","https://ebird.org/view/checklist/S61438653","https://ebird.org/species/eurbla",false,eurbla
197709051,Photo,"Turdus merula","Merle noir",,"Maryse Neukomm",1/6/2020,2020,1,6,1044,Switzerland,CH-AG,Aargau,,"Klingnauer Stausee",47.5833,8.2333,,,,Unspecified,,,,,,,,S63086999,,,,,,,,,"Turdus merula",eurbla,Species,27357.0,,,4.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",3000,4500,"https://macaulaylibrary.org/asset/197709051","https://ebird.org/view/checklist/S63086999","https://ebird.org/species/eurbla",false,eurbla
197709031,Photo,"Turdus merula","Merle noir",,"Maryse Neukomm",1/6/2020,2020,1,6,1044,Switzerland,CH-AG,Aargau,,"Klingnauer Stausee",47.5833,8.2333,,,,Unspecified,,,,,,,,S63086999,,,,,,,,,"Turdus merula",eurbla,Species,27357.0,,,2.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",2576,3864,"https://macaulaylibrary.org/asset/197709031","https://ebird.org/view/checklist/S63086999","https://ebird.org/species/eurbla",false,eurbla
196951311,Photo,"Turdus merula","Merle noir",,"Maryse Neukomm",1/2/2020,2020,1,2,1259,Switzerland,CH-SO,Solothurn,,"Saffretweg, Dornach, Solothurn",47.4769,7.6152,,,,Unspecified,,,,,,,,S62900970,,,,,,,,,"Turdus merula",eurbla,Species,27357.0,,,2.0,1,committed,,"https://ebird.org/profile/MTA1ODgwNQ",2109,3164,"https://macaulaylibrary.org/asset/196951311","https://ebird.org/view/checklist/S62900970","https://ebird.org/species/eurbla",false,eurbla
196079431,Photo,"Turdus merula","Merle noir",,"Leonardo Rassu",2/19/2017,2017,2,19,715,Switzerland,CH-TI,Ticino,,"Montagnola, Ticino, CH",45.9824,8.9198,,,,Unspecified,,,,,,,,S62782429,,,,,,,,,"Turdus merula",eurbla,Species,27357.0,,,0.0,0,committed,,,2868,4305,"https://macaulaylibrary.org/asset/196079431","https://ebird.org/view/checklist/S62782429","https://ebird.org/species/eurbla",false,eurbla
196078791,Photo,"Turdus merula","Merle noir",,"Leonardo Rassu",2/19/2017,2017,2,19,715,Switzerland,CH-TI,Ticino,,"Montagnola, Ticino, CH",45.9824,8.9198,,,,Unspecified,,,,,,,,S62782429,,,,,,,,,"Turdus merula",eurbla,Species,27357.0,,,0.0,0,committed,,,3117,4676,"https://macaulaylibrary.org/asset/196078791","https://ebird.org/view/checklist/S62782429","https://ebird.org/species/eurbla",false,eurbla
193957361,Photo,"Turdus merula","Merle noir",,"Floris Schenk",3/4/2017,2017,3,4,1400,Switzerland,CH-BE,Bern,,"Bern--Botanischer Garten",46.953,7.4447,,,,Unspecified,,,,,,,,S62435129,,,,,,,,,"Turdus merula",eurbla,Species,27357.0,,,2.0,1,committed,,,672,672,"https://macaulaylibrary.org/asset/193957361","https://ebird.org/view/checklist/S62435129","https://ebird.org/species/eurbla",false,eurbla
193957351,Photo,"Turdus merula","Merle noir",,"Floris Schenk",3/4/2017,2017,3,4,1400,Switzerland,CH-BE,Bern,,"Bern--Botanischer Garten",46.953,7.4447,,,,Unspecified,,,,,,,,S62435129,,,,,,,,,"Turdus merula",eurbla,Species,27357.0,,,2.0,1,committed,,,621,621,"https://macaulaylibrary.org/asset/193957351","https://ebird.org/view/checklist/S62435129","https://ebird.org/species/eurbla",false,eurbla
