Unnamed: 0,ML Catalog Number,Scientific Name,Date,Month,Locality,Latitude,Longitude,Average Community Rating,storage,altitude,LV03_E,LV03_N,crop_storage
0,198885451,Aquila chrysaetos,2020-01-03,1,Grub/SG,47.4547,9.4812,0.0,data/images/aquila_chrysaetos/original/198885451.jpg,715,754017,257995,data/images/aquila_chrysaetos/cropped/198885451.jpg
1,198249561,Aquila chrysaetos,2016-09-10,9,Swiss National Park,46.6671,10.1934,0.0,data/images/aquila_chrysaetos/original/198249561.jpg,1869,810775,172131,data/images/aquila_chrysaetos/cropped/198249561.jpg
2,197139961,Aquila chrysaetos,2006-01-03,1,Pfynwald (zone générale),46.3035,7.6199,4.0,data/images/aquila_chrysaetos/original/197139961.jpg,657,613965,128026,data/images/aquila_chrysaetos/cropped/197139961.jpg
3,197006711,Aquila chrysaetos,2020-01-03,1,Grub/SG,47.4505,9.4869,0.0,data/images/aquila_chrysaetos/original/197006711.jpg,870,754459,257539,data/images/aquila_chrysaetos/cropped/197006711.jpg
6,192237111,Aquila chrysaetos,2019-12-08,12,Zermatt--Stadt (City of Zermatt),46.0215,7.7472,3.0,data/images/aquila_chrysaetos/original/192237111.jpg,1609,623895,96708,data/images/aquila_chrysaetos/cropped/192237111.jpg
15,178340011,Aquila chrysaetos,2019-09-14,9,Wasserscheide Gurnigel (migration),46.7259,7.442,0.0,data/images/aquila_chrysaetos/original/178340011.jpg,1590,600257,174967,data/images/aquila_chrysaetos/cropped/178340011.jpg
16,178340001,Aquila chrysaetos,2019-09-14,9,Wasserscheide Gurnigel (migration),46.7259,7.442,0.0,data/images/aquila_chrysaetos/original/178340001.jpg,1590,600257,174967,data/images/aquila_chrysaetos/cropped/178340001.jpg
17,177074971,Aquila chrysaetos,2019-09-14,9,Wasserscheide Gurnigel (migration),46.7259,7.442,0.0,data/images/aquila_chrysaetos/original/177074971.jpg,1590,600257,174967,data/images/aquila_chrysaetos/cropped/177074971.jpg
21,177071391,Aquila chrysaetos,2019-09-14,9,Wasserscheide Gurnigel (migration),46.7259,7.442,0.0,data/images/aquila_chrysaetos/original/177071391.jpg,1590,600257,174967,data/images/aquila_chrysaetos/cropped/177071391.jpg
22,177071381,Aquila chrysaetos,2019-09-14,9,Wasserscheide Gurnigel (migration),46.7259,7.442,0.0,data/images/aquila_chrysaetos/original/177071381.jpg,1590,600257,174967,data/images/aquila_chrysaetos/cropped/177071381.jpg
23,177071371,Aquila chrysaetos,2019-09-14,9,Wasserscheide Gurnigel (migration),46.7259,7.442,0.0,data/images/aquila_chrysaetos/original/177071371.jpg,1590,600257,174967,data/images/aquila_chrysaetos/cropped/177071371.jpg
24,173890591,Aquila chrysaetos,2019-08-24,8,Col de Bretolet,46.1427,6.7962,3.0,data/images/aquila_chrysaetos/original/173890591.jpg,1884,550357,110339,data/images/aquila_chrysaetos/cropped/173890591.jpg
26,173889761,Aquila chrysaetos,2019-08-24,8,Col de Bretolet,46.1427,6.7962,3.0,data/images/aquila_chrysaetos/original/173889761.jpg,1884,550357,110339,data/images/aquila_chrysaetos/cropped/173889761.jpg
29,171671831,Aquila chrysaetos,2019-08-08,8,Swiss National Park--Il Fuorn Pass,46.6631,10.214,0.0,data/images/aquila_chrysaetos/original/171671831.jpg,1826,812366,171742,data/images/aquila_chrysaetos/cropped/171671831.jpg
30,171492281,Aquila chrysaetos,2019-06-08,6,Val Piora,46.5466,8.7221,0.0,data/images/aquila_chrysaetos/original/171492281.jpg,1963,698436,155839,data/images/aquila_chrysaetos/cropped/171492281.jpg
31,170940991,Aquila chrysaetos,2019-07-31,7,Zermatt (general area),46.0135,7.7445,0.0,data/images/aquila_chrysaetos/original/170940991.jpg,1661,623690,95818,data/images/aquila_chrysaetos/cropped/170940991.jpg
32,167044691,Aquila chrysaetos,2019-07-05,7,Fronalpstock-Stoos walk,46.9695,8.637,0.0,data/images/aquila_chrysaetos/original/167044691.jpg,1901,691192,202743,data/images/aquila_chrysaetos/cropped/167044691.jpg
33,167044671,Aquila chrysaetos,2019-07-05,7,Fronalpstock-Stoos walk,46.9695,8.637,0.0,data/images/aquila_chrysaetos/original/167044671.jpg,1901,691192,202743,data/images/aquila_chrysaetos/cropped/167044671.jpg
35,148682601,Aquila chrysaetos,2019-04-02,4,Zermatt,46.0068,7.735,0.0,data/images/aquila_chrysaetos/original/148682601.jpg,1720,622957,95071,data/images/aquila_chrysaetos/cropped/148682601.jpg
39,117132761,Aquila chrysaetos,2017-02-18,2,Gemmipass,46.3976,7.6148,4.0,data/images/aquila_chrysaetos/original/117132761.jpg,2250,613548,138486,data/images/aquila_chrysaetos/cropped/117132761.jpg
40,114222911,Aquila chrysaetos,2018-09-09,9,Wasserscheide Gurnigel (migration),46.7259,7.442,3.0,data/images/aquila_chrysaetos/original/114222911.jpg,1590,600257,174967,data/images/aquila_chrysaetos/cropped/114222911.jpg
42,112735931,Aquila chrysaetos,2018-08-03,8,"Titlis, Switzerland",46.7707,8.4229,3.0,data/images/aquila_chrysaetos/original/112735931.jpg,3020,675178,180418,data/images/aquila_chrysaetos/cropped/112735931.jpg
45,107541041,Aquila chrysaetos,2018-06-29,6,trail near Wengernalp,46.5741,7.9226,3.0,data/images/aquila_chrysaetos/original/107541041.jpg,1656,637100,158206,data/images/aquila_chrysaetos/cropped/107541041.jpg
46,104718141,Aquila chrysaetos,2018-05-27,5,Champex,46.0265,7.1216,3.0,data/images/aquila_chrysaetos/original/104718141.jpg,1450,575449,97267,data/images/aquila_chrysaetos/cropped/104718141.jpg
47,104718121,Aquila chrysaetos,2018-05-27,5,Champex,46.0265,7.1216,4.0,data/images/aquila_chrysaetos/original/104718121.jpg,1450,575449,97267,data/images/aquila_chrysaetos/cropped/104718121.jpg
