index,original index,ML Catalog Number,Scientific Name,Date,Month,Locality,Latitude,Longitude,Average Community Rating,storage,altitude,LV03_E,LV03_N,crop_storage,VL
175,0,200512751,Podiceps cristatus,2020-01-20,1,Rade de Genève (Geneva Bay),46.2111,6.1597,3.5,data/images/podiceps_cristatus/original/200512751.jpg,372,501302,118545,data/images/podiceps_cristatus/cropped/200512751.jpg,948.83
176,2,200195821,Podiceps cristatus,2020-01-13,1,Zürich Stadt (City of Zurich),47.3769,8.5414,3.0,data/images/podiceps_cristatus/original/200195821.jpg,408,683281,247925,data/images/podiceps_cristatus/cropped/200195821.jpg,854.52
177,4,200108141,Podiceps cristatus,2020-01-12,1,Zürich Stadt (City of Zurich),47.3769,8.5414,3.0,data/images/podiceps_cristatus/original/200108141.jpg,408,683281,247925,data/images/podiceps_cristatus/cropped/200108141.jpg,386.36
178,5,200108131,Podiceps cristatus,2020-01-12,1,Zürich Stadt (City of Zurich),47.3769,8.5414,4.0,data/images/podiceps_cristatus/original/200108131.jpg,408,683281,247925,data/images/podiceps_cristatus/cropped/200108131.jpg,438.98
179,6,199322721,Podiceps cristatus,2015-10-16,10,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/199322721.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/199322721.jpg,1228.14
180,7,199302761,Podiceps cristatus,2020-01-12,1,Port des Eaux-Vives et Baby-plage,46.2092,6.1624,0.0,data/images/podiceps_cristatus/original/199302761.jpg,372,501507,118330,data/images/podiceps_cristatus/cropped/199302761.jpg,943.91
181,8,199115671,Podiceps cristatus,2015-10-17,10,Bolle di Magadino--Nord--Bolla Rossa,46.1618,8.8571,0.0,data/images/podiceps_cristatus/original/199115671.jpg,193,709562,113248,data/images/podiceps_cristatus/cropped/199115671.jpg,697.06
182,9,199046491,Podiceps cristatus,2019-07-01,7,Zürich Stadt (City of Zurich),47.3769,8.5414,0.0,data/images/podiceps_cristatus/original/199046491.jpg,408,683281,247925,data/images/podiceps_cristatus/cropped/199046491.jpg,11353.98
183,11,198665371,Podiceps cristatus,2020-01-11,1,Inkwilersee,47.1987,7.6628,4.0,data/images/podiceps_cristatus/original/198665371.jpg,461,616987,227553,data/images/podiceps_cristatus/cropped/198665371.jpg,2192.11
184,12,198665361,Podiceps cristatus,2020-01-11,1,Inkwilersee,47.1987,7.6628,3.0,data/images/podiceps_cristatus/original/198665361.jpg,461,616987,227553,data/images/podiceps_cristatus/cropped/198665361.jpg,2686.03
